baseline,level,probe_seed,fit_examples,observer_layer,prefix_length,lookup_coverage,accuracy,balanced_accuracy,ce,represented_classes,balanced_majority_accuracy
surface_linear,3,12345,4096,0,8,,0.2738037109375,0.27019571997312286,2.3264901638031006,16,0.0625
surface_linear,3,12345,8192,0,8,,0.33544921875,0.274576656080043,2.0612761974334717,16,0.0625
surface_linear,3,12346,64,0,8,,0.1043701171875,0.11058628488351878,6.531599521636963,16,0.0625
surface_linear,3,12346,128,0,8,,0.1119384765625,0.11898395792334726,8.52682113647461,16,0.0625
surface_linear,3,12346,256,0,8,,0.1317138671875,0.13167154813601512,11.762048721313477,16,0.0625
surface_linear,3,12346,512,0,8,,0.152099609375,0.1534464898520613,19.30115509033203,16,0.0625
surface_linear,3,12346,1024,0,8,,0.1839599609375,0.1781944241797982,9.047479629516602,16,0.0625
surface_linear,3,12346,2048,0,8,,0.236328125,0.23727841465265836,2.9078402519226074,16,0.0625
surface_linear,3,12346,4096,0,8,,0.2738037109375,0.27019571997312286,2.3264901638031006,16,0.0625
surface_linear,3,12346,8192,0,8,,0.33544921875,0.274576656080043,2.0612761974334717,16,0.0625
surface_linear,3,12347,64,0,8,,0.1043701171875,0.11058628488351878,6.531599521636963,16,0.0625
surface_linear,3,12347,128,0,8,,0.1119384765625,0.11898395792334726,8.52682113647461,16,0.0625
surface_linear,3,12347,256,0,8,,0.1317138671875,0.13167154813601512,11.762048721313477,16,0.0625
surface_linear,3,12347,512,0,8,,0.152099609375,0.1534464898520613,19.30115509033203,16,0.0625
surface_linear,3,12347,1024,0,8,,0.1839599609375,0.1781944241797982,9.047479629516602,16,0.0625
surface_linear,3,12347,2048,0,8,,0.236328125,0.23727841465265836,2.9078402519226074,16,0.0625
surface_linear,3,12347,4096,0,8,,0.2738037109375,0.27019571997312286,2.3264901638031006,16,0.0625
surface_linear,3,12347,8192,0,8,,0.33544921875,0.274576656080043,2.0612761974334717,16,0.0625
surface_mlp,3,12345,64,0,8,,0.1075439453125,0.11030633500609448,8.032514572143555,16,0.0625
surface_mlp,3,12345,128,0,8,,0.12060546875,0.12344424109894737,9.279439926147461,16,0.0625
surface_mlp,3,12345,256,0,8,,0.14599609375,0.14794916939635624,11.18138599395752,16,0.0625
surface_mlp,3,12345,512,0,8,,0.174560546875,0.17647036956721143,11.630061149597168,16,0.0625
surface_mlp,3,12345,1024,0,8,,0.223388671875,0.21922943951662482,8.152581214904785,16,0.0625
surface_mlp,3,12345,2048,0,8,,0.295654296875,0.29296034792607956,6.016169548034668,16,0.0625
surface_mlp,3,12345,4096,0,8,,0.4329833984375,0.42655702110599947,4.41712760925293,16,0.0625
surface_mlp,3,12345,8192,0,8,,0.6680908203125,0.5917309802135198,2.051229476928711,16,0.0625
