baseline,level,model_seed,probe_seed,fit_examples,observer_layer,accuracy,balanced_accuracy,ce,represented_classes,balanced_majority_accuracy
random_features,2,0,12347,8192,8,0.99951171875,0.9991749174917491,0.014842767268419266,16,0.0625
random_features,3,0,12345,64,0,0.0635986328125,0.06708642126829541,11.396008491516113,16,0.0625
random_features,3,0,12345,64,1,0.0789794921875,0.07748883502613235,19.407695770263672,16,0.0625
random_features,3,0,12345,64,2,0.0767822265625,0.07828686518983723,16.321468353271484,16,0.0625
random_features,3,0,12345,64,3,0.0750732421875,0.07721139505753838,15.773957252502441,16,0.0625
random_features,3,0,12345,64,4,0.07861328125,0.080336445923366,15.467397689819336,16,0.0625
random_features,3,0,12345,64,5,0.0814208984375,0.08513854266716206,15.387396812438965,16,0.0625
random_features,3,0,12345,64,6,0.078857421875,0.0833484582805356,14.979050636291504,16,0.0625
random_features,3,0,12345,64,7,0.0787353515625,0.0835326807864395,14.812559127807617,16,0.0625
random_features,3,0,12345,64,8,0.07568359375,0.07951111899192509,14.525867462158203,16,0.0625
random_features,3,0,12345,128,0,0.0712890625,0.07996471015903539,8.84967041015625,16,0.0625
random_features,3,0,12345,128,1,0.084716796875,0.08535404775347019,23.50341796875,16,0.0625
random_features,3,0,12345,128,2,0.0897216796875,0.09087490221165459,17.90890121459961,16,0.0625
random_features,3,0,12345,128,3,0.0916748046875,0.09341644962401913,17.517993927001953,16,0.0625
random_features,3,0,12345,128,4,0.0906982421875,0.0919958116458349,16.97140121459961,16,0.0625
random_features,3,0,12345,128,5,0.0894775390625,0.09300731928382547,17.07843017578125,16,0.0625
random_features,3,0,12345,128,6,0.088623046875,0.09214686231820726,16.726173400878906,16,0.0625
random_features,3,0,12345,128,7,0.09228515625,0.09394120682062637,16.246740341186523,16,0.0625
random_features,3,0,12345,128,8,0.0950927734375,0.0957172050271613,16.13681411743164,16,0.0625
random_features,3,0,12345,256,0,0.08984375,0.0890107233327533,6.023868560791016,16,0.0625
random_features,3,0,12345,256,1,0.1070556640625,0.10157660915522107,17.332571029663086,16,0.0625
random_features,3,0,12345,256,2,0.1026611328125,0.10609292798185525,16.21908950805664,16,0.0625
random_features,3,0,12345,256,3,0.10302734375,0.10573479379951001,15.985885620117188,16,0.0625
random_features,3,0,12345,256,4,0.102294921875,0.105302244501959,15.397478103637695,16,0.0625
random_features,3,0,12345,256,5,0.10400390625,0.10633990962984763,15.281641006469727,16,0.0625
random_features,3,0,12345,256,6,0.1055908203125,0.10802942970664182,15.346479415893555,16,0.0625
random_features,3,0,12345,256,7,0.104248046875,0.10552534141690775,15.080669403076172,16,0.0625
random_features,3,0,12345,256,8,0.10400390625,0.1042750025537369,15.21330738067627,16,0.0625
random_features,3,0,12345,512,0,0.106689453125,0.09794215521850808,4.134407997131348,16,0.0625
random_features,3,0,12345,512,1,0.1265869140625,0.12574307574081134,12.026080131530762,16,0.0625
random_features,3,0,12345,512,2,0.1195068359375,0.12293717763005926,12.87716007232666,16,0.0625
random_features,3,0,12345,512,3,0.1275634765625,0.13155758238738274,12.786869049072266,16,0.0625
random_features,3,0,12345,512,4,0.1278076171875,0.12935881320394488,13.363364219665527,16,0.0625
random_features,3,0,12345,512,5,0.1328125,0.1343022979297172,13.050554275512695,16,0.0625
random_features,3,0,12345,512,6,0.130126953125,0.13318655513660382,12.853947639465332,16,0.0625
random_features,3,0,12345,512,7,0.1356201171875,0.13388072968816425,12.558420181274414,16,0.0625
random_features,3,0,12345,512,8,0.1357421875,0.13688734013492448,12.356413841247559,16,0.0625
random_features,3,0,12345,1024,0,0.1241455078125,0.10413621354628846,3.054408073425293,16,0.0625
random_features,3,0,12345,1024,1,0.14501953125,0.1376138745171548,7.1864166259765625,16,0.0625
random_features,3,0,12345,1024,2,0.1490478515625,0.1468313392442233,10.091386795043945,16,0.0625
random_features,3,0,12345,1024,3,0.1474609375,0.1453445698127749,11.407495498657227,16,0.0625
random_features,3,0,12345,1024,4,0.149658203125,0.14400874065237923,11.606536865234375,16,0.0625
random_features,3,0,12345,1024,5,0.151611328125,0.14407161487682474,11.882308959960938,16,0.0625
random_features,3,0,12345,1024,6,0.150390625,0.14929077250890055,12.103706359863281,16,0.0625
random_features,3,0,12345,1024,7,0.15380859375,0.14762628290333862,11.887495040893555,16,0.0625
random_features,3,0,12345,1024,8,0.15673828125,0.1493481002525554,11.98440933227539,16,0.0625
random_features,3,0,12345,2048,0,0.126708984375,0.10427725008392551,2.765159845352173,16,0.0625
random_features,3,0,12345,2048,1,0.16357421875,0.16141389628235486,3.6017255783081055,16,0.0625
random_features,3,0,12345,2048,2,0.17578125,0.17441479813187397,4.282198905944824,16,0.0625
random_features,3,0,12345,2048,3,0.16796875,0.16451253477148628,5.022690296173096,16,0.0625
random_features,3,0,12345,2048,4,0.1759033203125,0.17393194650474011,5.417105674743652,16,0.0625
random_features,3,0,12345,2048,5,0.1759033203125,0.17576729464681898,5.929704666137695,16,0.0625
random_features,3,0,12345,2048,6,0.177490234375,0.17487364058472477,5.915528297424316,16,0.0625
random_features,3,0,12345,2048,7,0.1727294921875,0.1717560146669997,6.043377876281738,16,0.0625
random_features,3,0,12345,2048,8,0.1710205078125,0.17123702385405098,6.109138488769531,16,0.0625
random_features,3,0,12345,4096,0,0.1348876953125,0.0999916533616428,2.6819827556610107,16,0.0625
random_features,3,0,12345,4096,1,0.2003173828125,0.1953327451608374,2.7111072540283203,16,0.0625
random_features,3,0,12345,4096,2,0.220703125,0.2191041047385458,2.80698299407959,16,0.0625
random_features,3,0,12345,4096,3,0.2171630859375,0.2112029142372031,2.8834803104400635,16,0.0625
random_features,3,0,12345,4096,4,0.2265625,0.22453515166618382,2.886417865753174,16,0.0625
random_features,3,0,12345,4096,5,0.224365234375,0.220221779405772,2.8909707069396973,16,0.0625
random_features,3,0,12345,4096,6,0.2210693359375,0.21912581930657557,2.9141385555267334,16,0.0625
random_features,3,0,12345,4096,7,0.2188720703125,0.21939254552291992,2.921344757080078,16,0.0625
random_features,3,0,12345,4096,8,0.2216796875,0.21896948907038938,2.915614604949951,16,0.0625
random_features,3,0,12345,8192,0,0.15576171875,0.0974666696446638,2.570563316345215,16,0.0625
random_features,3,0,12345,8192,1,0.254638671875,0.20206410510619638,2.3652210235595703,16,0.0625
random_features,3,0,12345,8192,2,0.2784423828125,0.2329478047358216,2.3330233097076416,16,0.0625
random_features,3,0,12345,8192,3,0.27783203125,0.23120840080501542,2.343902826309204,16,0.0625
random_features,3,0,12345,8192,4,0.2806396484375,0.23447586212119126,2.3224434852600098,16,0.0625
random_features,3,0,12345,8192,5,0.27978515625,0.23396953345034402,2.347059488296509,16,0.0625
random_features,3,0,12345,8192,6,0.27978515625,0.23534088430215366,2.3520689010620117,16,0.0625
random_features,3,0,12345,8192,7,0.277587890625,0.23248652835507566,2.3629038333892822,16,0.0625
random_features,3,0,12345,8192,8,0.2779541015625,0.23201871328779244,2.3723671436309814,16,0.0625
random_features,3,0,12346,64,0,0.0635986328125,0.06708642126829541,11.396008491516113,16,0.0625
random_features,3,0,12346,64,1,0.0789794921875,0.07748883502613235,19.407695770263672,16,0.0625
random_features,3,0,12346,64,2,0.0767822265625,0.07828686518983723,16.321468353271484,16,0.0625
random_features,3,0,12346,64,3,0.0750732421875,0.07721139505753838,15.773957252502441,16,0.0625
random_features,3,0,12346,64,4,0.07861328125,0.080336445923366,15.467397689819336,16,0.0625
